"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Achieving Agile Big Data Science: The Evolution of a Team’s Agile Process Methodology","J. S. Saltz; I. Shamshurin","School of Information Studies Syracuse University, Syracuse, NY, USA; School of Information Studies Syracuse University, Syracuse, NY, USA","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","3477","3485","While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9005493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005493","Big Data Science;Agile;Process Methodology","Big Data;Data science;Task analysis;Software;Data models;Limiting;Estimation","Big Data;kanban;project management;software management;software prototyping;team working","Agile Kanban methodology;team agile process methodology;Big Data science team;Big Data science project;agile Big Data science","","5","","38","IEEE","24 Feb 2020","","","IEEE","IEEE Conferences"
"SKI: An Agile Framework for Data Science","J. Saltz; A. Suthrland",Syracuse University; Scrum Inc.,"2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","3468","3476","This paper explores data science project management by first noting the need for a new process management framework and then defines a process framework that effectively supports the needs of a data science team. The paper also reports on a pilot study of teams using the framework. The framework adheres to the lean Kanban philosophy but augments Kanban by providing a structured iteration process for teams to incrementally explore and learn via lean hypothesis testing. Specifically, the Structured Kanban Iteration (SKI) framework focuses on having teams define capability-based iterations (as opposed to Kanban-like no iterations or Scrumlike time-based sprints). Furthermore, unlike Kanban, the framework leverages Scrum best practices to define roles, meetings and artifacts. Thus, SKI implements the Kanban process, but with a more repeatable and structured approach.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9005591","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005591","Data Science;Big Data;Agile;Process Methodology","Data science;Big Data;Task analysis;Project management;Data mining;Data models","data handling;iterative methods;kanban;project management","agile framework;data science project management;process management framework;data science team;lean Kanban philosophy;structured iteration process;lean hypothesis testing;capability-based iterations;Kanban process;SKI;Scrum best practices;structured Kanban iteration framework","","7","","40","IEEE","24 Feb 2020","","","IEEE","IEEE Conferences"
"On the Application of SCRUM in Data Science Projects","N. Kraut; F. Transchel","Faculty of Business Studies, Harz University of Applied Sciences, Wernigerode, Germany; Faculty of Automation & Computer Science, Harz University of Applied Sciences, Wernigerode, Germany","2022 7th International Conference on Big Data Analytics (ICBDA)","21 Apr 2022","2022","","","1","9","The emerging discipline of Data Science poses several challenges for teams conducting projects in the field as notably, the majority of Data Science teams fail to deliver the expected outcomes. To improve the results, researchers tried to adapt agile project methodologies like Scrum for Data Science projects. Scrum in particular is often implemented due its success in software engineering. However, the basic Scrum framework has proven itself to be too strict for Data Science, due to frequent unpredictabilities of Data Science tasks. Consequently, adaptions were made to traditional Scrum to make it more suitable for the new challenges. This article discusses further adaptations and suggests that Scrum in itself is usable in Data Science, however, additional adaptations of the core concepts need to be envisioned.","","978-1-6654-7938-7","10.1109/ICBDA55095.2022.9760341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9760341","SCRUM;data science;project management","Data science;Big Data;Task analysis;Scrum (Software development);Software engineering","project management;software development management;software engineering;software prototyping","Data Science tasks;basic Scrum framework;agile project methodologies;Data Science teams;Data Science projects;traditional Scrum","","","","43","IEEE","21 Apr 2022","","","IEEE","IEEE Conferences"
"The Waterfall Model with Agile Scrum as the Hybrid Agile Model for the Software Engineering Team","N. Yahya; S. S. Maidin","Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia (IIUM), Malaysia; Faculty of Data Science and Information Technology (FDSIT), INTI International University, Malaysia","2022 10th International Conference on Cyber and IT Service Management (CITSM)","11 Nov 2022","2022","","","1","5","Hybrid agile is a software development model that combines the agile approach with a non-agile development strategy. A software engineering team chooses the hybrid agile to best fit the development process based on project needs; some projects require a plan-driven approach, and at the same time, agility is a must. However, among many agile methodologies and plan-driven development models, which methodologies or models adopted by a software engineering team lead to hybrid agile. This research aims to identify the software engineering team's approach and model that resulted in the emergence of a hybrid agile model. Data for this research were acquired through a qualitative study using interviews as the data collection instrument and thematic analysis is used to analyze the data and identify the theme. In the context of this paper, we focus on only one (1) theme, which is “models used in a software project”. According to the research findings, the agile Scrum and Waterfall models are the models that have been practised in software projects that have resulted in the hybrid agile model. In the near future, further research will be conducted to determine which process model is employed in certain software process phases of a software project.","2770-159X","978-1-6654-6074-3","10.1109/CITSM56380.2022.9936036","Ministry of Education (MOE)(grant numbers:FRGS/1/2019/ICT01/UIAM/03/2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9936036","Hybrid agile;Scrum;Waterfall model;Software engineering team","Instruments;Data collection;Software;Scrum (Software development);Interviews;Software engineering;Context modeling","project management;software development management;software prototyping;team working","agile methodologies;agile scrum;hybrid agile model;nonagile development strategy;plan-driven development models;process model;software engineering team;software project;waterfall model","","","","25","IEEE","11 Nov 2022","","","IEEE","IEEE Conferences"
"Identifying the most Common Frameworks Data Science Teams Use to Structure and Coordinate their Projects","J. S. Saltz; N. Hotz",Syracuse University; Indiana University,"2020 IEEE International Conference on Big Data (Big Data)","19 Mar 2021","2020","","","2038","2042","This paper presents the results of a study focused on exploring which framework, if any, teams use to execute data science projects. The study consisted of a survey of 109 industry professionals, as well as an evaluation of relevant framework terms searched at Google. Overall, CRISP-DM was the most commonly used framework, with Scrum and Kanban being the second and third most frequently used. We note that CRISP-DM is a life cycle framework, whereas Scrum and Kanban are team coordination frameworks. Hence, this research also notes the potential demand for a framework that integrates both life cycle and team coordination aspects of leading a data science project.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9377813","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377813","Data Science;Big Data;Process Methodology","Industries;Conferences;Project management;Organizations;Data science;Big Data;Internet","data mining;project management","relevant framework terms;CRISP-DM;life cycle framework;team coordination frameworks;team coordination aspects;data science project;common frameworks data science teams use;industry professionals;Scrum;Kanban","","4","","32","IEEE","19 Mar 2021","","","IEEE","IEEE Conferences"
"Adopting Agile Software Development Methodologies in Big Data Projects – a Systematic Literature Review of Experience Reports","I. Krasteva; S. Ilieva","GATE Institute, Software University ""St. Kliment Ohridski"", Sofia, Bulgaria; GATE Institute, Software University ""St. Kliment Ohridski"", Sofia, Bulgaria","2020 IEEE International Conference on Big Data (Big Data)","19 Mar 2021","2020","","","2028","2033","During the last decade, agile software development methodologies have been widely adopted in various project contexts. Big data projects are different from software engineering projects in all three aspects - people, processes and technologies. Recent research has shown that agile approaches are suitable and beneficial when applied in big data projects. The aim of the current study is to investigate which of the agile software development methodologies are currently applied in big data projects and what are the key considerations for their application. As a first step towards achieving this aim, the paper presents a systematic literature review of research articles reporting real-world experience of adopting agile methodologies in different big data science contexts. The findings of the study are beneficial to both practitioners and researchers to define and adopt agile approaches which are well suited for their big data projects.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9378118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378118","agile software development;big data science;methodology adoption;real-world experience;systematic literature review","Systematics;Bibliographies;Agile software development;Big Data;Libraries;Software;Software engineering","Big Data;project management;software development management;software prototyping","agile software development methodologies;systematic literature review;software engineering projects;Big Data projects;Big Data science contexts;experience reports","","1","","18","IEEE","19 Mar 2021","","","IEEE","IEEE Conferences"
"Applying Scrum in Data Science Projects","J. Baijens; R. Helms; D. Iren","Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands","2020 IEEE 22nd Conference on Business Informatics (CBI)","15 Jul 2020","2020","1","","30","38","The rise of big data has led to an increase in data science projects conducted by organizations. Such projects aim to create valuable insights by improving decision making or enhancing an organization's service offering through data-driven services. However, the majority of data science projects still fail to deliver the expected value. To increase the success rate of projects, the use of process models or methodologies is recommended in the literature. Nevertheless, organizations are hardly using them because they are considered too rigid and they do not support the typical iterative and open nature of data science projects. To overcome this problem, this research suggests applying Agile methodologies to data science projects. Agile methodologies were originally developed in the software engineering domain and are characterised by their iterative approach towards software development. In this study, we selected the Scrum approach and integrated it into the CRISP-DM methodology for data science projects using a Design Science Research approach. This new methodology was then evaluated in three different case organizations using expert interviews. Analysis of the expert interviews resulted in a further refinement of the Agile data science methodology proposed by this research.","2378-1971","978-1-7281-9926-9","10.1109/CBI49978.2020.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140255","Data Science;Agile;Scrum","Data science;Biological system modeling;Data models;Organizations;Task analysis;Software","Big Data;decision making;project management;software prototyping","data science projects;agile data science methodology;Scrum;big data;decision making;software engineering;software development;CRISP-DM methodology","","9","","43","IEEE","15 Jul 2020","","","IEEE","IEEE Conferences"
"Managing and Composing Teams in Data Science: An Empirical Study","T. Aho; T. Kilamo; L. Lwakatare; T. Mikkonen; O. Sievi-Korte; S. Yaman","TietoEvry, Tampere, Finland; Computing Sciences, Tampere University, Tampere, Finland; Computer Science, University of Helsinki, Helsinki, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Computing Sciences, Tampere University, Tampere, Finland; KPMG Finland, Helsinki, Finland","2021 IEEE International Conference on Big Data (Big Data)","13 Jan 2022","2021","","","2291","2300","Data science projects have become commonplace over the last decade. During this time, the practices of running such projects, together with the tools used to run them, have evolved considerably. Furthermore, there are various studies on data science workflows and data science project teams. However, studies looking into both workflows and teams are still scarce and comprehensive works to build a holistic view do not exist. This study bases on a prior case study on roles and processes in data science. The goal here is to create a deeper understanding of data science projects and development processes. We conducted a survey targeted at experts working in the field of data science (n=50) to understand data science projects’ team structure, roles in the teams, utilized project management practices and the challenges in data science work. Results show little difference between big data projects and other data science. The found differences, however, give pointers for future research on how agile data science projects are, and how important is the role of supporting project management personnel. The current study is work in progress and attempts to spark discussion and new research directions.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671737","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671737","Data science;agile practices;teamwork;project management","Conferences;Project management;Data science;Big Data;Data models;Sparks;Personnel","Big Data;project management","data science workflows;agile data science projects;Big Data projects;project management practices","","","","23","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Using Agile Frameworks in Big Data projects","K. Kolesnikova; O. Mezentseva; O. Kolesnikov; D. J. Obenewaa","Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine","2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT)","27 Dec 2021","2021","2","","415","418","Considering the main problems of Big Data projects - huge amounts of data, uncertainty and the need to take into account constant changes, the study decided to investigate the process of managing Big Data projects using Agile. The problem of choosing Agile techniques is complicated by the fact that each of the known frameworks has its own advantages and disadvantages. Depending on the type of project, a particular tool can influence various criteria for the success of the project. In addition, research has shown that some enterprises use separate elements of a particular framework. Therefore, the scientific novelty of the article lies in the study of the influence of individual elements of Agile techniques on the success of the project and its course. With the help of expert assessment in the work, a quantity of separate elements of Agile were formed. These techniques are the most common among practicing managers of Big Data project. The data were prepared to create a regression model.","2766-3639","978-1-6654-4257-2","10.1109/CSIT52700.2021.9648622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648622","Agile;project management;Big Data;statistics;questionnaire;expert assessment","Uncertainty;Conferences;Customer satisfaction;Project management;Companies;Big Data;Data models","Big Data;data analysis;regression analysis;software prototyping","agile frameworks;Big Data project;agile techniques;expert assessment;practicing managers;regression model","","","","20","IEEE","27 Dec 2021","","","IEEE","IEEE Conferences"
"Scrum Best Practices Recommendation: a Media and Community Startup Case Study","A. Kurniawan; E. K. Budiardjo; K. Mahatma","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","2021 International Conference Advancement in Data Science, E-learning and Information Systems (ICADEIS)","9 Feb 2022","2021","","","1","5","XYZ Company is a media and community company that applies Scrum in the process of developing key business support applications. The results of problem identification through interviews with the Chief Technology Officer (CTO) and Chief Product Officer (CPO) showed that one of the root causes of the problem was the Scrum team did not implement the Scrum guidelines strictly. This research evaluates the maturity level of Scrum implementation using the Standard CMMI Appraisal Method for Process Improvement (SCAMPI C). Researchers used the Scrum Maturity Model (SMM) as a model for calculating maturity. This SMM has been updated by following the Scrum Guide 2020 and best practices in 2020-2021 obtained from the literature study. To affirm the appraisal result, This research also distributed questionnaires to 33 respondents from the product team and the technology team. This research recommends implementation improvements using the Plan, Do, Check, Act (PDCA) Cycle approach. The results of the Scrum implementation maturity assessment are on Level 2. This research recommends some practices to be implemented and improved in the objectives: (a) Scrum Role Exist; (b) Scrum Meetings Occur and are Participated, and (c) Daily Scrum Succeed. If applied consistently, XYZ will have a quality improvement in Scrum implementation.","","978-1-6654-3709-7","10.1109/ICADEIS52521.2021.9701958","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9701958","Evaluation;Best practices;SCAMPI C;Scrum;Scrum maturity model","Electronic learning;Companies;Media;Data science;Appraisal;Interviews;Best practices","business data processing;Capability Maturity Model;organisational aspects;project management;software development management","community company;business support applications;problem identification;chief technology officer;standard CMMI appraisal method;process improvement;SMM;chief product officer;Scrum meetings occur;Scrum role exist;daily scrum succeed;XYZ company;CTO;CPO;SCAMPI C;plan, do, check, act cycle approach;PDCA;Scrum implementation maturity assessment","","","","24","IEEE","9 Feb 2022","","","IEEE","IEEE Conferences"
