Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Saltz J.S., Shamshurin I.","7004423035;42662434400;","Achieving Agile Big Data Science: The Evolution of a Team's Agile Process Methodology",2019,"Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019",,,"9005493","3477","3485",,8,"10.1109/BigData47090.2019.9005493","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081303461&doi=10.1109%2fBigData47090.2019.9005493&partnerID=40&md5=bf4c216dcc15cbc568a6a16d3f41c9e3","School of Information Studies Syracuse University, Syracuse, NY, United States","Saltz, J.S., School of Information Studies Syracuse University, Syracuse, NY, United States; Shamshurin, I., School of Information Studies Syracuse University, Syracuse, NY, United States","While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams. © 2019 IEEE.","Agile; Big Data Science; Process Methodology","Data Science; Human resource management; Agile; Agile process; Key process; Mixed method; Qualitative study; Short bursts; Team members; Work in progress; Big data",,"Baru C.Huan J.Khan L.Hu X.T.Ak R.Tian Y.Barga R.Zaniolo C.Lee K.Ye Y.F.","Institute of Electrical and Electronics Engineers Inc.",,9781728108582,,,"English","Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,"Final","",Scopus,2-s2.0-85081303461
"Saltz J., Suthrland A.","7004423035;57224675527;","SKI: An Agile Framework for Data Science",2019,"Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019",,,"9005591","3468","3476",,9,"10.1109/BigData47090.2019.9005591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081330216&doi=10.1109%2fBigData47090.2019.9005591&partnerID=40&md5=40117a3d48d67e091f50df7e54ab659e","Syracuse University, United States; Scrum Inc.","Saltz, J., Syracuse University, United States; Suthrland, A., Scrum Inc.","This paper explores data science project management by first noting the need for a new process management framework and then defines a process framework that effectively supports the needs of a data science team. The paper also reports on a pilot study of teams using the framework. The framework adheres to the lean Kanban philosophy but augments Kanban by providing a structured iteration process for teams to incrementally explore and learn via lean hypothesis testing. Specifically, the Structured Kanban Iteration (SKI) framework focuses on having teams define capability-based iterations (as opposed to Kanban-like no iterations or Scrumlike time-based sprints). Furthermore, unlike Kanban, the framework leverages Scrum best practices to define roles, meetings and artifacts. Thus, SKI implements the Kanban process, but with a more repeatable and structured approach. © 2019 IEEE.","Agile; Big Data; Data Science; Process Methodology","Big data; Data Science; Iterative methods; Project management; Agile; Best practices; Hypothesis testing; Iteration process; Pilot studies; Process framework; Process management; Structured approach; Human resource management",,"Baru C.Huan J.Khan L.Hu X.T.Ak R.Tian Y.Barga R.Zaniolo C.Lee K.Ye Y.F.","Institute of Electrical and Electronics Engineers Inc.",,9781728108582,,,"English","Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,"Final","",Scopus,2-s2.0-85081330216
"Demigha S.","6507339023;","Agile projects and big data",2019,"Proceedings of the International Conference on Intellectual Capital, Knowledge Management and Organisational Learning, ICICKM","2019-December",,,"88","96",,1,"10.34190/IKM.19.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100802246&doi=10.34190%2fIKM.19.025&partnerID=40&md5=a1f7b70e866c95e9180392b8801167fa","CRI University of Paris 1, Sorbonne, France","Demigha, S., CRI University of Paris 1, Sorbonne, France","In this paper, we explore the Agile approach to IT and big data project management and explain the benefit of agile methodologies for Big Data projects. The primary benefit of adopting an Agile methodology is its fluidity, this enables projects to adapt to changing assumptions, hypotheses, and requirements in a transparent way. Organizations are modernizing by using big data to power important decisions. They are refining agile approaches to Big Data problems and develop new techniques. An Agile approach is beneficial for big data projects because it allows analysts to gain valuable insights quickly, even from large data sets. This is possible by the way Agile projects break data sets down into smaller increments and is assisted by the continuous testing process. The paper reviews benefits of agile methodologies and explain how applying Agile IT methodology to Data Science Projects and Big Data Projects and why does Data Science need Agile methodologies. © 2019 Academic Conferences and Publishing International Limited. All rights reserved.","Agile project; Big data; Big data project management; Data science","Data Science; Knowledge management; Project management; Agile approaches; Agile Methodologies; Continuous testing; Data problems; Large datasets; Science projects; Big data","Demigha, S.; CRI University of Paris 1France; email: souad.demigha@u-psud.fr","Dumay J.Guthrie J.Munir R.","Academic Conferences and Publishing International Limited",20489803,9781912764501,,,"English","Proc. Int. Conf. Intell. Capital., Knowl. Manage. Org. Learn., ICICKM",Conference Paper,"Final","",Scopus,2-s2.0-85100802246
"Krasteva I., Ilieva S.","25641265900;56248468800;","Adopting Agile Software Development Methodologies in Big Data Projects - A Systematic Literature Review of Experience Reports",2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,"9378118","2028","2033",,2,"10.1109/BigData50022.2020.9378118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103840307&doi=10.1109%2fBigData50022.2020.9378118&partnerID=40&md5=160b4937181f9294ddbfa76504622c99","Software University St. Kliment Ohridski, Gate Institute, Sofia, Bulgaria","Krasteva, I., Software University St. Kliment Ohridski, Gate Institute, Sofia, Bulgaria; Ilieva, S., Software University St. Kliment Ohridski, Gate Institute, Sofia, Bulgaria","During the last decade, agile software development methodologies have been widely adopted in various project contexts. Big data projects are different from software engineering projects in all three aspects - people, processes and technologies. Recent research has shown that agile approaches are suitable and beneficial when applied in big data projects. The aim of the current study is to investigate which of the agile software development methodologies are currently applied in big data projects and what are the key considerations for their application. As a first step towards achieving this aim, the paper presents a systematic literature review of research articles reporting real-world experience of adopting agile methodologies in different big data science contexts. The findings of the study are beneficial to both practitioners and researchers to define and adopt agile approaches which are well suited for their big data projects. © 2020 IEEE.","agile software development; big data science; methodology adoption; real-world experience; systematic literature review","Application programs; Data Science; Software design; Agile approaches; Agile Methodologies; Agile software development; Experience report; Real-world experience; Recent researches; Software engineering projects; Systematic literature review; Big data",,"Wu X.Jermaine C.Xiong L.Hu X.T.Kotevska O.Lu S.Xu W.Aluru S.Zhai C.Al-Masri E.Chen Z.Saltz J.","Institute of Electrical and Electronics Engineers Inc.",,9781728162515,,,"English","Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,"Final","",Scopus,2-s2.0-85103840307
"Saltz J.S., Krasteva I.","7004423035;25641265900;","Current approaches for executing big data science projects—a systematic literature review",2022,"PeerJ Computer Science","8",,"e862","","",,4,"10.7717/PEERJ-CS.862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125838568&doi=10.7717%2fPEERJ-CS.862&partnerID=40&md5=a8f281fbcb4ed8938f0aab5a2680a3fd","Syracuse University, Syracuse, NY, United States; GATE Institute, Sofia University, Sofia, Bulgaria","Saltz, J.S., Syracuse University, Syracuse, NY, United States; Krasteva, I., GATE Institute, Sofia University, Sofia, Bulgaria","There is an increasing number of big data science projects aiming to create value for organizations by improving decision making, streamlining costs or enhancing business processes. However, many of these projects fail to deliver the expected value. It has been observed that a key reason many data science projects don’t succeed is not technical in nature, but rather, the process aspect of the project. The lack of established and mature methodologies for executing data science projects has been frequently noted as a reason for these project failures. To help move the field forward, this study presents a systematic review of research focused on the adoption of big data science process frameworks. The goal of the review was to identify (1) the key themes, with respect to current research on how teams execute data science projects, (2) the most common approaches regarding how data science projects are organized, managed and coordinated, (3) the activities involved in a data science projects life cycle, and (4) the implications for future research in this field. In short, the review identified 68 primary studies thematically classified in six categories. Two of the themes (workflow and agility) accounted for approximately 80% of the identified studies. The findings regarding workflow approaches consist mainly of adaptations to CRISP-DM (vs entirely new proposed methodologies). With respect to agile approaches, most of the studies only explored the conceptual benefits of using an agile approach in a data science project (vs actually evaluating an agile framework being used in a data science context). Hence, one finding from this research is that future research should explore how to best achieve the theorized benefits of agility. Another finding is the need to explore how to efficiently combine workflow and agile frameworks within a data science context to achieve a more comprehensive approach for project execution © 2022 Saltz and Krasteva","Agile data science; Big data science; Big data science workflows; Process frameworks; Project execution","Data Science; Decision making; Life cycle; 'current; Agile approaches; Agile data science; Big data science; Big data science workflow; Process framework; Project execution; Science projects; Systematic literature review; Work-flows; Big data","Krasteva, I.; GATE Institute, Bulgaria; email: iva.krasteva@gate-ai.eu",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85125838568
"Saltz J.S., Hotz N.","7004423035;56842957300;","Identifying the most Common Frameworks Data Science Teams Use to Structure and Coordinate their Projects",2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,"9377813","2038","2042",,7,"10.1109/BigData50022.2020.9377813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103847302&doi=10.1109%2fBigData50022.2020.9377813&partnerID=40&md5=0f5b16f2d44788e39f672855f4ebf0dc","Syracuse University; Indiana University, United States","Saltz, J.S., Syracuse University; Hotz, N., Indiana University, United States","This paper presents the results of a study focused on exploring which framework, if any, teams use to execute data science projects. The study consisted of a survey of 109 industry professionals, as well as an evaluation of relevant framework terms searched at Google. Overall, CRISP-DM was the most commonly used framework, with Scrum and Kanban being the second and third most frequently used. We note that CRISP-DM is a life cycle framework, whereas Scrum and Kanban are team coordination frameworks. Hence, this research also notes the potential demand for a framework that integrates both life cycle and team coordination aspects of leading a data science project. © 2020 IEEE.","Big Data; Data Science; Process Methodology","Artificial life; Big data; Human resource management; Life cycle; Petroleum reservoir evaluation; CRISP-DM; Industry professionals; Potential demand; Science projects; Team coordination; Data Science",,"Wu X.Jermaine C.Xiong L.Hu X.T.Kotevska O.Lu S.Xu W.Aluru S.Zhai C.Al-Masri E.Chen Z.Saltz J.","Institute of Electrical and Electronics Engineers Inc.",,9781728162515,,,"English","Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,"Final","",Scopus,2-s2.0-85103847302
"Baijens J., Helms R., Iren D.","57211339561;15061453100;55762268100;","Applying Scrum in Data Science Projects",2020,"Proceedings - 2020 IEEE 22nd Conference on Business Informatics, CBI 2020","1",,"9140255","30","38",,9,"10.1109/CBI49978.2020.00011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089284821&doi=10.1109%2fCBI49978.2020.00011&partnerID=40&md5=c8d4cc95ac6249f5cc098e412ffa4b23","Open University, Department of Information Science, Heerlen, Netherlands","Baijens, J., Open University, Department of Information Science, Heerlen, Netherlands; Helms, R., Open University, Department of Information Science, Heerlen, Netherlands; Iren, D., Open University, Department of Information Science, Heerlen, Netherlands","The rise of big data has led to an increase in data science projects conducted by organizations. Such projects aim to create valuable insights by improving decision making or enhancing an organization's service offering through data-driven services. However, the majority of data science projects still fail to deliver the expected value. To increase the success rate of projects, the use of process models or methodologies is recommended in the literature. Nevertheless, organizations are hardly using them because they are considered too rigid and they do not support the typical iterative and open nature of data science projects. To overcome this problem, this research suggests applying Agile methodologies to data science projects. Agile methodologies were originally developed in the software engineering domain and are characterised by their iterative approach towards software development. In this study, we selected the Scrum approach and integrated it into the CRISP-DM methodology for data science projects using a Design Science Research approach. This new methodology was then evaluated in three different case organizations using expert interviews. Analysis of the expert interviews resulted in a further refinement of the Agile data science methodology proposed by this research. © 2020 IEEE.","Agile; Data Science; Scrum","Decision making; Iterative methods; Software design; Agile Methodologies; Design-science researches; Expected values; Iterative approach; Science methodologies; Science projects; Service offering; Software engineering domain; Data Science",,"Aier S.Gordijn J.Proper H.A.Verelst J.","Institute of Electrical and Electronics Engineers Inc.",,9781728199269,,,"English","Proc. - IEEE Conf. Bus. Informatics, CBI",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85089284821
"Dastgerdi A.K., Gandomani T.J.","57226654101;55441629900;","On the Appropriate Methodologies for Data Science Projects",2021,"2021 International Conference on Information Technology, ICIT 2021 - Proceedings",,,"9491712","667","673",,1,"10.1109/ICIT52682.2021.9491712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112190039&doi=10.1109%2fICIT52682.2021.9491712&partnerID=40&md5=6a6082ddf5e3c4be550a417d9ee2f340","Leuphana University of Luneburg, Faculty of Business and Economics, Luneburg, Germany; Shahrekord University, Department of Computer Science, Shahrekord, Iran","Dastgerdi, A.K., Leuphana University of Luneburg, Faculty of Business and Economics, Luneburg, Germany; Gandomani, T.J., Shahrekord University, Department of Computer Science, Shahrekord, Iran","Data science is an emerging discipline with a particular research focus on improving the available techniques for data analysis. While the number of data science projects is growing, unfortunately, there is a slight consideration of how a team performs a data science project. Although the existence of a repeatable well-defined process could deal with many challenges of data science projects, researches conducted in recent years indicate a convergence of the results to agile methodologies as the appropriate ones for the projects. In this paper, first, the tasks and roles of individuals in data science projects are addressed; then, some research conducted for the methodologies used in the projects are studied. The study shows that agile methodologies could resolve many issues of data science projects by increasing the communications and cooperation of the team members and investors. © 2021 IEEE.","agile software methodologies; big data; business intelligence; data science","Agile Methodologies; Number of datum; Research focus; Science projects; Team members; Data Science",,,"Institute of Electrical and Electronics Engineers Inc.",,9781665428705,,,"English","Int. Conf. Inf. Technol., ICIT - Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85112190039
"Garouani M., Ahmad A., Bouneffa M., Lewandowski A., Bourguin G., Hamlich M.","57226345482;57192646034;19337242800;23397053000;55914522900;55611586400;","Towards the Automation of Industrial Data Science: A Meta-learning based Approach",2021,"International Conference on Enterprise Information Systems, ICEIS - Proceedings","1",,,"709","716",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130939416&partnerID=40&md5=250835e33056711f0f351e5d28013e12","Univ. Littoral Côte d’Opale, UR 4491, LISIC, Laboratoire d’Informatique Signal et Image de la Côte d’Opale, Calais, F-62100, France; ISSIEE Laboratory, ENSAM, University of Hassan II, Casablanca, Morocco; Study and Research Center for Engineering and Management(CERIM), HESTIM, Casablanca, Morocco","Garouani, M., Univ. Littoral Côte d’Opale, UR 4491, LISIC, Laboratoire d’Informatique Signal et Image de la Côte d’Opale, Calais, F-62100, France, ISSIEE Laboratory, ENSAM, University of Hassan II, Casablanca, Morocco, Study and Research Center for Engineering and Management(CERIM), HESTIM, Casablanca, Morocco; Ahmad, A., Univ. Littoral Côte d’Opale, UR 4491, LISIC, Laboratoire d’Informatique Signal et Image de la Côte d’Opale, Calais, F-62100, France; Bouneffa, M., Univ. Littoral Côte d’Opale, UR 4491, LISIC, Laboratoire d’Informatique Signal et Image de la Côte d’Opale, Calais, F-62100, France; Lewandowski, A., Univ. Littoral Côte d’Opale, UR 4491, LISIC, Laboratoire d’Informatique Signal et Image de la Côte d’Opale, Calais, F-62100, France; Bourguin, G., Univ. Littoral Côte d’Opale, UR 4491, LISIC, Laboratoire d’Informatique Signal et Image de la Côte d’Opale, Calais, F-62100, France; Hamlich, M., ISSIEE Laboratory, ENSAM, University of Hassan II, Casablanca, Morocco","In context of the fourth industrial revolution (industry 4.0), the industrial big data is subject to grow rapidly to respond the agile industrial computing and manufacturing technologies. This data evolution can be captured using ubiquitous integrated sensors and multiple smart machines. We believe the use of data science methodologies, for the selection of models and configuration of hyper-parameters, may help to better control such data evolution. But, at the same time, the industrial practitioners and researchers often lack machine-learning expertise to directly retrieve the benefit from valuable manufacturing big data. Such a lack poses the major obstacle to yield value from even-though familiar data. In this case, a collaboration with data scientists may become an exigence along with the extensive machine learning knowledge which presumably may result to pursue further delays and effort. Multiple approaches for automating machine learning (AutoML) have been proposed for the past recent years in order to alleviate this deficiency. These approaches are expected to perform better along with accomplishment of computing resources which are mostly not readily accessible. To address this research challenge, in this paper, we propose a meta-learning based approach that may serve an effective decision support system for the AutoML process. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.","Automated Machine Learning; Industrial Data Science; Industry 4.0; Manufacturing Big Data; Meta-learning","Big data; Data Science; Decision support systems; Learning systems; Machine learning; Automated machine learning; Automated machines; Data evolution; In contexts; Industrial data science; Industrial datum; Learning-based approach; Machine-learning; Manufacturing big data; Metalearning; Industry 4.0",,"Filipe J.Smialek M.Brodsky A.Hammoudi S.","Science and Technology Publications, Lda",21844992,9789897585098,,,"English","International Conference on Enterprise Information Systems, ICEIS - Proceedings",Conference Paper,"Final","",Scopus,2-s2.0-85130939416
"Kraut N., Transchel F.","57668670600;56964527600;","On the Application of SCRUM in Data Science Projects",2022,"2022 7th International Conference on Big Data Analytics, ICBDA 2022",,,,"1","9",,,"10.1109/ICBDA55095.2022.9760341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129474110&doi=10.1109%2fICBDA55095.2022.9760341&partnerID=40&md5=677417fa61bb17bfdb2b45060cf1848d","Harz University of Applied Sciences, Faculty of Business Studies, Wernigerode, Germany; Harz University of Applied Sciences, Faculty of Automation Computer Science, Wernigerode, Germany","Kraut, N., Harz University of Applied Sciences, Faculty of Business Studies, Wernigerode, Germany; Transchel, F., Harz University of Applied Sciences, Faculty of Automation Computer Science, Wernigerode, Germany","The emerging discipline of Data Science poses several challenges for teams conducting projects in the field as notably, the majority of Data Science teams fail to deliver the expected outcomes. To improve the results, researchers tried to adapt agile project methodologies like Scrum for Data Science projects. Scrum in particular is often implemented due its success in software engineering. However, the basic Scrum framework has proven itself to be too strict for Data Science, due to frequent unpredictabilities of Data Science tasks. Consequently, adaptions were made to traditional Scrum to make it more suitable for the new challenges. This article discusses further adaptations and suggests that Scrum in itself is usable in Data Science, however, additional adaptations of the core concepts need to be envisioned. © 2022 IEEE.","data science; project management; SCRUM","Data Science; Software engineering; Science projects; SCRUM; Project management",,,"Institute of Electrical and Electronics Engineers Inc.",,9781665479387,,,"English","Int. Conf. Big Data Anal., ICBDA",Conference Paper,"Final","",Scopus,2-s2.0-85129474110
