entry,database,title,abstract,author_keywords,authors,authors_affiliations,publication_year,source_title,publisher,url,doi,query_date,processing_date
,acm,Agile Construction of Data Science DSLs (Tool Demo),"Domain Specific Languages (DSLs) have proven useful in the domain of data science, as witnessed by the popularity of SQL. However, implementing and maintaining a DSL incurs a significant effort which limits their utility in context of fast-changing data science frameworks and libraries. We propose an approach and a Python-based library/tool NLDSL which simplifies and streamlines implementation of DSLs modeling pipelines of operations. In particular, syntax description and operation implementation are bundled together as annotated and terse Python functions, which simplifies extending and maintaining a DSL. To support ad hoc DSL elements, NLDSL offers a mechanism to define DSL-level functions as first-class DSL elements. Our tool automatically supports each DSL by code completions and in-editor documentation in a multitude of IDEs implementing the Microsoft's Language Server Protocol. To circumvent the problem of a limited expressiveness of a external DSL, our tool allows embedding DSL statements in the source code comments of a general purpose language and to translate the DSL to such a language during editing. We demonstrate and evaluate our approach and tool by implementing a DSL for data tables which is translated to either Pandas or to PySpark code. A preliminary evaluation shows that this DSL can be defined in a concise and maintainable way, and that it can cover a majority of processing steps of popular Spark/Pandas tutorials.","Apache Spark, DSL development, Data analysis frameworks, Code generation, Assisted editing and IntelliSense, Python Pandas","Andrzejak A,Kiefer K,Costa DE,Wenz O",,2019,Proceedings of the 18th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences,Association for Computing Machinery,,10.1145/3357765.3359516,20230520-160000,20230521-044735
,acm,DESIGN AN AGILE OF MACHINE LEARNING TO PREDICTIVE HOUSE PRICING AND TARGETING SEGMENTED MARKET,"Because of too high expectations or having a wrongly segmented target market, the developer hasn't received a good response from the target market. Developers need a new marketing tool that is based on data. The use of machine learning systems as marketing tools to help solve the problems in house price prediction is an important topic in the real estate industry. The design of machine learning will use CRISP-DM as a framework and to analyze using linear regression and random forest as the best possible accuracy. Besides that, to find a potential market, we will use K-Means as a clustering method. The modeling and experiments to design a machine learning engine that can predict a range of selling prices using linear regression can give maximum accuracy and analyze the target market. The research focusing on different attributes will bring different dominant attributes to the table too.","house development market, linear regression, influence factor, predictive pricing, data science, random forest, machine learning, target market, data analytics, Agile","Wijaya J,Ipung HP,Soetomo MA",,2022,Proceedings of the 2022 International Conference on Engineering and Information Technology for Sustainable Industry,Association for Computing Machinery,,10.1145/3557738.3557856,20230520-160000,20230521-044735
,acm,Summary of the International Conference on Software AndSystem Processes (ICSSP 2018),"The International Conference on Software and System Processes (ICSSP), continuing the success of Software Process Workshop (SPW), the Software Process Modeling and Simulation Workshop (ProSim) and the International Conference on Software Process (ICSP) conference series, has become the established premier event in the eld of software and systems engineering processes. It provides a leading forum for the exchange of research outcomes and industrial best-practices in process development from software and systems disciplines. ICSSP 2018 was held in Gothenburg, Sweden, 26-27 May 2018, co-located with the 40th International Conference on Software Engineering (ICSE). The theme of ICSSP 2018 was studying Demands on Processes, Processes on Demand"" by recognizing the demands on processes that include the need for both well-developed plans and incremental deliveries (agile and hybrid processes), utilization of increased automation (model-based engineering and DevOps), higher degrees of customer collaboration, comprehensive analysis of existing products for reuse (open source and COTS), and performance requirements of enterprise-level architectures. Papers presented at ICSSP discussed these issues across di erent domains, providing concepts, evidence, and experiences.","product quality, agile methods, project management, deployment, hybrid systems development, continuous development, data science","Kuhrmann M,O'Connor RV,Houston D,Hebig R,Raffo D",,2019,SIGSOFT Softw. Eng. Notes,Association for Computing Machinery,,10.1145/3282517.3302403,20230520-160000,20230521-044735
,acm,Summary of the International Conference on Software and System Processes (ICSSP 2018),"The International Conference on Software and System Processes (ICSSP), continuing the success of Software Process Workshop (SPW), the Software Process Modeling and Simulation Workshop (ProSim) and the International Conference on Software Process (ICSP) conference series, has become the established premier event in the field of software and systems engineering processes. It provides a leading forum for the exchange of research outcomes and industrial best-practices in process development from software and systems disciplines. ICSSP 2018 was held in Gothenburg, Sweden, 26-27 May 2018, co-located with the 40th International Conference on Software Engineering (ICSE). The theme of ICSSP 2018 was studying Demands on Processes, Processes on Demand"" by recognizing the demands on processes that include the need for both welldeveloped plans and incremental deliveries (agile and hybrid processes), utilization of increased automation (model-based engineering and DevOps), higher degrees of customer collaboration, comprehensive analysis of existing products for reuse (open source and COTS), and performance requirements of enterprise-level architectures. Papers presented at ICSSP discussed these issues across different domains, providing concepts, evidence, and experiences.","data science, project management, product quality, deployment, agile methods, hybrid systems development, continuous development","Kuhrmann M,O'Connor RV,Houston D,Hebig R,Raffo D",,2019,SIGSOFT Softw. Eng. Notes,Association for Computing Machinery,,10.1145/3282517.3302415,20230520-160000,20230521-044735
,acm,Unlocking the Potential of NextGen Multi-Model Databases for Semantic Big Data Projects,"A new vision in semantic big data processing is to create enterprise data hubs, with a 360° view on all data that matters to a corporation. As we discuss in this paper, a new generation of multi-model database systems seems a promising architectural choice for building such scalable, non-native triple stores. In this paper, we first characterize this new generation of multi-model databases. Then, discussing an example scenario, we show how they allow for agile and flexible schema management, spanning a large design space for creative and incremental data modelling. We identify the challenge of generating sound triple-views from data stored in several, interlinked models, for SPARQL querying. We regard this as one of several appealing research challenges where the semantic big data and the database architecture community may join forces.","schema evolution, semantic data management, multi-model DBMS","Holubová I,Scherzinger S",,2019,Proceedings of the International Workshop on Semantic Big Data,Association for Computing Machinery,,10.1145/3323878.3325807,20230520-160000,20230521-044735
,acm,A Scalable Methodology to Guide Student Teams Executing Computing Projects,"This article reports on a sequential mixed-methods research study, which compared different approaches on how to guide students through a semester-long data science project. Four different methodologies, ranging from a traditional “just assign some intermediate milestones” to other more Agile methodologies, were first compared via a controlled experiment. The results of this initial experiment showed that the project methodology used made a significant difference in student outcomes. Surprisingly, the Agile Kanban approach was found to be much more effective than the Agile Scrum methodology. Based on these initial results, in the second semester, we focused on use of the Kanban methodology. The findings in the second, more qualitative phase, confirmed the methodology's usefulness and scalability. A key issue when using the scrum methodology was that the students had a very difficult time estimating what could be completed in each of their two-week sprints. The Kanban board, which visually shows and limits work-in-progress, was found to be an effective way for students to communicate with each other as well as with their instructor. In addition, Agile Kanban also streamlined the work required for instructors to efficiently provide guidance to student teams and to understand each team's status. In summary, a scalable Kanban methodology, which can be applied to a wide variety of student computing projects, was found to an effective methodology to guide and manage student projects, improving student outcomes and minimizing instructor workload.","project methodologies, Project-based learning, scalable methodologies","Saltz JS,Heckman RR",,2018,ACM Trans. Comput. Educ.,Association for Computing Machinery,,10.1145/3145477,20230520-160000,20230521-044735
,acm,An Approach for the Implementation of Semantic Big Data Analytics in the Social Business Intelligence Process on Distributed Environments (Cloud Computing),"Managing and extracting useful knowledge from social media sources is a challenge. It has attracted a lot of attention from universities and industry. To meet this challenge, semantic analysis of textual data is the subject matter.Today, with the connection present everywhere and at any time, considerable data is born. These data or data become a key player for understanding, analyzing, anticipating and solving major economic, political, social and scientific problems. Data also changes our working procedures, our cultural environment, even restructuring our way of thinking. And just as the scientific, managerial and financial world is interested in Big Data, a new discipline is growing: Fast Data. In addition to the salient volume of data; another variant becomes decisive, the ability to efficiently process data in all their diversity, transforming it into knowledge by providing the right information to the right person at the right time, or even using it to predict the future.The exploitation of Big Data requires the proposition of new adapted mathematical and IT approaches but also a reengineering of managerial approaches for the control of the informational environment of a public or private organization. While basing itself on a strategic information management approach such as Economic Intelligence (EI). The latter combines and encompasses Business Intelligence techniques for internal data management and business intelligence techniques for monitoring and controlling external information flows. However, Big Data, as a boundless source of information for EI, has upset the traditional EI process, which requires a reengineering of the EI approach. My research works perfectly in this context characterized by an uncertain and unpredictable environment.We ask to propose an ontology-based, service-oriented, agile and scalable Social Business Intelligence approach to extract the semantics of textual data and define the domain of massive data. In other words, we semantically analyze social data at two levels, namely the level of the entity and the level of the domain.","Fast Data, Big Data, Social BI, Distributed Processing, Ontology, Cloud","Alcabnani S,Oubezza M,Elkafi J",,2020,Proceedings of the 4th International Conference on Big Data and Internet of Things,Association for Computing Machinery,,10.1145/3372938.3373003,20230520-160000,20230521-044735
,acm,Research on the Middle Platform Service System of Battlefield Data Governance Information Based on 5G Technology,"In order to enable fast and agile battlefield data service support capabilities, orderly advance the construction of military big data, and accelerate the implementation of digital battlefields, this paper makes full use of 5G technology and service center integration ideas to build a battlefield data governance information service system. Network slicing technology is used to guarantee differentiated network transmission capabilities for different data requirements, cloud-edge coordination technology is used to guarantee real-time computing power for distributed battlefield data, and service capability opening technology is used to guarantee agile data customization services in complex and changeable environments. New technologies are systematically integrated to achieve value-added empowerment of different operational application data, and provide fast and flexible digital service guarantee for the battlefield.",,"Ou X,Liao J,Chen K,Hu Z",,2022,2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture,Association for Computing Machinery,,10.1145/3495018.3495109,20230520-160000,20230521-044735
,acm,Best Practices for Engineering AI-Infused Applications: Lessons Learned from Microsoft Teams,"Artificial intelligence and machine learning (AI/ML) are some of the newest trends to hit the software industry, compelling organizations to evolve their development processes to deliver novel products to their customers. In this talk, I describe a study in which we learned how Microsoft software teams develop AI/ML-based applications using a nine-stage AI workflow process informed by prior experiences developing early AI applications (e.g. search and NLP) and data science tools (e.g. application telemetry and bug reporting). Adapting this workflow into their pre-existing, well-evolved, Agile-like software engineering processes and job roles has resulted in a number of engineering challenges unique to the AI/ML domain, some universal to all teams, but others related to the amount of prior AI/ML experience and education the teams have. I tell you about some challenges and the solutions that teams have come up with. The lessons that Microsoft has learned can help other organizations embarking on their own path towards AI and ML.","AI, machine learning, industry practice",Begel A,,2019,Proceedings of the Joint 7th International Workshop on Conducting Empirical Studies in Industry and 6th International Workshop on Software Engineering Research and Industrial Practice,IEEE Press,,10.1109/CESSER-IP.2019.00008,20230520-160000,20230521-044735
,acm,Information Resilience: The Nexus of Responsible and Agile Approaches to Information Use,"The appetite for effective use of information assets has been steadily rising in both public and private sector organisations. However, whether the information is used for social good or commercial gain, there is a growing recognition of the complex socio-technical challenges associated with balancing the diverse demands of regulatory compliance and data privacy, social expectations and ethical use, business process agility and value creation, and scarcity of data science talent. In this vision paper, we present a series of case studies that highlight these interconnected challenges, across a range of application areas. We use the insights from the case studies to introduce Information Resilience, as a scaffold within which the competing requirements of responsible and agile approaches to information use can be positioned. The aim of this paper is to develop and present a manifesto for Information Resilience that can serve as a reference for future research and development in relevant areas of responsible data management.","Value creation, Data quality, Information Resilience, Responsible data science, Effective information use","Sadiq S,Aryani A,Demartini G,Hua W,Indulska M,Burton-Jones A,Khosravi H,Benavides-Prado D,Sellis T,Someh I,Vaithianathan R,Wang S,Zhou X",,2022,The VLDB Journal,Springer-Verlag,,10.1007/s00778-021-00720-2,20230520-160000,20230521-044735
