entry,database,title,abstract,author_keywords,authors,authors_affiliations,publication_year,source_title,publisher,url,doi,query_date,processing_date
,ieeex,Achieving Agile Big Data Science: The Evolution of a Team’s Agile Process Methodology,"While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams.",Big Data Science;Agile;Process Methodology,J. S. Saltz; I. Shamshurin,"School of Information Studies Syracuse University, Syracuse, NY, USA; School of Information Studies Syracuse University, Syracuse, NY, USA",2019,2019 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005493,10.1109/BigData47090.2019.9005493,20230520-160000,20230521-044735
,ieeex,SKI: An Agile Framework for Data Science,"This paper explores data science project management by first noting the need for a new process management framework and then defines a process framework that effectively supports the needs of a data science team. The paper also reports on a pilot study of teams using the framework. The framework adheres to the lean Kanban philosophy but augments Kanban by providing a structured iteration process for teams to incrementally explore and learn via lean hypothesis testing. Specifically, the Structured Kanban Iteration (SKI) framework focuses on having teams define capability-based iterations (as opposed to Kanban-like no iterations or Scrumlike time-based sprints). Furthermore, unlike Kanban, the framework leverages Scrum best practices to define roles, meetings and artifacts. Thus, SKI implements the Kanban process, but with a more repeatable and structured approach.",Data Science;Big Data;Agile;Process Methodology,J. Saltz; A. Suthrland,Syracuse University; Scrum Inc.,2019,2019 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005591,10.1109/BigData47090.2019.9005591,20230520-160000,20230521-044735
,ieeex,On the Application of SCRUM in Data Science Projects,"The emerging discipline of Data Science poses several challenges for teams conducting projects in the field as notably, the majority of Data Science teams fail to deliver the expected outcomes. To improve the results, researchers tried to adapt agile project methodologies like Scrum for Data Science projects. Scrum in particular is often implemented due its success in software engineering. However, the basic Scrum framework has proven itself to be too strict for Data Science, due to frequent unpredictabilities of Data Science tasks. Consequently, adaptions were made to traditional Scrum to make it more suitable for the new challenges. This article discusses further adaptations and suggests that Scrum in itself is usable in Data Science, however, additional adaptations of the core concepts need to be envisioned.",SCRUM;data science;project management,N. Kraut; F. Transchel,"Faculty of Business Studies, Harz University of Applied Sciences, Wernigerode, Germany; Faculty of Automation & Computer Science, Harz University of Applied Sciences, Wernigerode, Germany",2022,2022 7th International Conference on Big Data Analytics (ICBDA),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9760341,10.1109/ICBDA55095.2022.9760341,20230520-160000,20230521-044735
,ieeex,The Waterfall Model with Agile Scrum as the Hybrid Agile Model for the Software Engineering Team,"Hybrid agile is a software development model that combines the agile approach with a non-agile development strategy. A software engineering team chooses the hybrid agile to best fit the development process based on project needs; some projects require a plan-driven approach, and at the same time, agility is a must. However, among many agile methodologies and plan-driven development models, which methodologies or models adopted by a software engineering team lead to hybrid agile. This research aims to identify the software engineering team's approach and model that resulted in the emergence of a hybrid agile model. Data for this research were acquired through a qualitative study using interviews as the data collection instrument and thematic analysis is used to analyze the data and identify the theme. In the context of this paper, we focus on only one (1) theme, which is “models used in a software project”. According to the research findings, the agile Scrum and Waterfall models are the models that have been practised in software projects that have resulted in the hybrid agile model. In the near future, further research will be conducted to determine which process model is employed in certain software process phases of a software project.",Hybrid agile;Scrum;Waterfall model;Software engineering team,N. Yahya; S. S. Maidin,"Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia (IIUM), Malaysia; Faculty of Data Science and Information Technology (FDSIT), INTI International University, Malaysia",2022,2022 10th International Conference on Cyber and IT Service Management (CITSM),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9936036,10.1109/CITSM56380.2022.9936036,20230520-160000,20230521-044735
,ieeex,Identifying the most Common Frameworks Data Science Teams Use to Structure and Coordinate their Projects,"This paper presents the results of a study focused on exploring which framework, if any, teams use to execute data science projects. The study consisted of a survey of 109 industry professionals, as well as an evaluation of relevant framework terms searched at Google. Overall, CRISP-DM was the most commonly used framework, with Scrum and Kanban being the second and third most frequently used. We note that CRISP-DM is a life cycle framework, whereas Scrum and Kanban are team coordination frameworks. Hence, this research also notes the potential demand for a framework that integrates both life cycle and team coordination aspects of leading a data science project.",Data Science;Big Data;Process Methodology,J. S. Saltz; N. Hotz,Syracuse University; Indiana University,2020,2020 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377813,10.1109/BigData50022.2020.9377813,20230520-160000,20230521-044735
,ieeex,Adopting Agile Software Development Methodologies in Big Data Projects – a Systematic Literature Review of Experience Reports,"During the last decade, agile software development methodologies have been widely adopted in various project contexts. Big data projects are different from software engineering projects in all three aspects - people, processes and technologies. Recent research has shown that agile approaches are suitable and beneficial when applied in big data projects. The aim of the current study is to investigate which of the agile software development methodologies are currently applied in big data projects and what are the key considerations for their application. As a first step towards achieving this aim, the paper presents a systematic literature review of research articles reporting real-world experience of adopting agile methodologies in different big data science contexts. The findings of the study are beneficial to both practitioners and researchers to define and adopt agile approaches which are well suited for their big data projects.",agile software development;big data science;methodology adoption;real-world experience;systematic literature review,I. Krasteva; S. Ilieva,"GATE Institute, Software University ""St. Kliment Ohridski"", Sofia, Bulgaria; GATE Institute, Software University ""St. Kliment Ohridski"", Sofia, Bulgaria",2020,2020 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378118,10.1109/BigData50022.2020.9378118,20230520-160000,20230521-044735
,ieeex,Applying Scrum in Data Science Projects,"The rise of big data has led to an increase in data science projects conducted by organizations. Such projects aim to create valuable insights by improving decision making or enhancing an organization's service offering through data-driven services. However, the majority of data science projects still fail to deliver the expected value. To increase the success rate of projects, the use of process models or methodologies is recommended in the literature. Nevertheless, organizations are hardly using them because they are considered too rigid and they do not support the typical iterative and open nature of data science projects. To overcome this problem, this research suggests applying Agile methodologies to data science projects. Agile methodologies were originally developed in the software engineering domain and are characterised by their iterative approach towards software development. In this study, we selected the Scrum approach and integrated it into the CRISP-DM methodology for data science projects using a Design Science Research approach. This new methodology was then evaluated in three different case organizations using expert interviews. Analysis of the expert interviews resulted in a further refinement of the Agile data science methodology proposed by this research.",Data Science;Agile;Scrum,J. Baijens; R. Helms; D. Iren,"Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands",2020,2020 IEEE 22nd Conference on Business Informatics (CBI),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140255,10.1109/CBI49978.2020.00011,20230520-160000,20230521-044735
,ieeex,Managing and Composing Teams in Data Science: An Empirical Study,"Data science projects have become commonplace over the last decade. During this time, the practices of running such projects, together with the tools used to run them, have evolved considerably. Furthermore, there are various studies on data science workflows and data science project teams. However, studies looking into both workflows and teams are still scarce and comprehensive works to build a holistic view do not exist. This study bases on a prior case study on roles and processes in data science. The goal here is to create a deeper understanding of data science projects and development processes. We conducted a survey targeted at experts working in the field of data science (n=50) to understand data science projects’ team structure, roles in the teams, utilized project management practices and the challenges in data science work. Results show little difference between big data projects and other data science. The found differences, however, give pointers for future research on how agile data science projects are, and how important is the role of supporting project management personnel. The current study is work in progress and attempts to spark discussion and new research directions.",Data science;agile practices;teamwork;project management,T. Aho; T. Kilamo; L. Lwakatare; T. Mikkonen; O. Sievi-Korte; S. Yaman,"TietoEvry, Tampere, Finland; Computing Sciences, Tampere University, Tampere, Finland; Computer Science, University of Helsinki, Helsinki, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Computing Sciences, Tampere University, Tampere, Finland; KPMG Finland, Helsinki, Finland",2021,2021 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671737,10.1109/BigData52589.2021.9671737,20230520-160000,20230521-044735
,ieeex,Using Agile Frameworks in Big Data projects,"Considering the main problems of Big Data projects - huge amounts of data, uncertainty and the need to take into account constant changes, the study decided to investigate the process of managing Big Data projects using Agile. The problem of choosing Agile techniques is complicated by the fact that each of the known frameworks has its own advantages and disadvantages. Depending on the type of project, a particular tool can influence various criteria for the success of the project. In addition, research has shown that some enterprises use separate elements of a particular framework. Therefore, the scientific novelty of the article lies in the study of the influence of individual elements of Agile techniques on the success of the project and its course. With the help of expert assessment in the work, a quantity of separate elements of Agile were formed. These techniques are the most common among practicing managers of Big Data project. The data were prepared to create a regression model.",Agile;project management;Big Data;statistics;questionnaire;expert assessment,K. Kolesnikova; O. Mezentseva; O. Kolesnikov; D. J. Obenewaa,"Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine",2021,2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648622,10.1109/CSIT52700.2021.9648622,20230520-160000,20230521-044735
,ieeex,Scrum Best Practices Recommendation: a Media and Community Startup Case Study,"XYZ Company is a media and community company that applies Scrum in the process of developing key business support applications. The results of problem identification through interviews with the Chief Technology Officer (CTO) and Chief Product Officer (CPO) showed that one of the root causes of the problem was the Scrum team did not implement the Scrum guidelines strictly. This research evaluates the maturity level of Scrum implementation using the Standard CMMI Appraisal Method for Process Improvement (SCAMPI C). Researchers used the Scrum Maturity Model (SMM) as a model for calculating maturity. This SMM has been updated by following the Scrum Guide 2020 and best practices in 2020-2021 obtained from the literature study. To affirm the appraisal result, This research also distributed questionnaires to 33 respondents from the product team and the technology team. This research recommends implementation improvements using the Plan, Do, Check, Act (PDCA) Cycle approach. The results of the Scrum implementation maturity assessment are on Level 2. This research recommends some practices to be implemented and improved in the objectives: (a) Scrum Role Exist; (b) Scrum Meetings Occur and are Participated, and (c) Daily Scrum Succeed. If applied consistently, XYZ will have a quality improvement in Scrum implementation.",Evaluation;Best practices;SCAMPI C;Scrum;Scrum maturity model,A. Kurniawan; E. K. Budiardjo; K. Mahatma,"Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia",2021,"2021 International Conference Advancement in Data Science, E-learning and Information Systems (ICADEIS)",IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9701958,10.1109/ICADEIS52521.2021.9701958,20230520-160000,20230521-044735
