entry,database,title,abstract,author_keywords,authors,authors_affiliations,publication_year,source_title,publisher,url,doi,query_date,processing_date
,wos,Achieving Agile Big Data Science: The Evolution of a Team Agile Process Methodology,"While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams.",Big Data Science; Agile; Process Methodology,"Saltz, JS; Shamshurin, I",Syracuse University,2019.0,2019 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),IEEE,,,20230520-160000,20230521-044735
,wos,Applying Scrum in Data Science Projects,"The rise of big data has led to an increase in data science projects conducted by organizations. Such projects aim to create valuable insights by improving decision making or enhancing an organization's service offering through datadriven services. However, the majority of data science projects still fail to deliver the expected value. To increase the success rate of projects, the use of process models or methodologies is recommended in the literature. Nevertheless, organizations are hardly using them because they are considered too rigid and they do not support the typical iterative and open nature of data science projects. To overcome this problem, this research suggests applying Agile methodologies to data science projects. Agile methodologies were originally developed in the software engineering domain and are characterised by their iterative approach towards software development. In this study, we selected the Scrum approach and integrated it into the CRISP-DM methodology for data science projects using a Design Science Research approach. This new methodology was then evaluated in three different case organizations using expert interviews. Analysis of the expert interviews resulted in a further refinement of the Agile data science methodology proposed by this research.",Data Science; Agile; Scrum,"Baijens, J; Helms, R; Iren, D",Open University Netherlands,2020.0,"2020 IEEE 22ND CONFERENCE ON BUSINESS INFORMATICS (CBI 2020), VOL I - RESEARCH PAPERS",IEEE COMPUTER SOC,,10.1109/CBI49978.2020.00011,20230520-160000,20230521-044735
,wos,SKI: An Agile Framework for Data Science,"This paper explores data science project management by first noting the need for a new process management framework and then defines a process framework that effectively supports the needs of a data science team. The paper also reports on a pilot study of teams using the framework. The framework adheres to the lean Kanban philosophy but augments Kanban by providing a structured iteration process for teams to incrementally explore and learn via lean hypothesis testing. Specifically, the Structured Kanban Iteration (SKI) framework focuses on having teams define capability-based iterations (as opposed to Kanban-like no iterations or Scrum-like time-based sprints). Furthermore, unlike Kanban, the framework leverages Scrum best practices to define roles, meetings and artifacts. Thus. SKI implements the Kanban process, but with a more repeatable and structured approach.",Data Science; Big Data; Agile; Process Methodology,"Saltz, J; Suthrland, A",Syracuse University,2019.0,2019 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),IEEE,,,20230520-160000,20230521-044735
,wos,Adopting Agile Software Development Methodologies in Big Data Projects - a Systematic Literature Review of Experience Reports,"During the last decade, agile software development methodologies have been widely adopted in various project contexts. Big data projects are different from software engineering projects in all three aspects - people, processes and technologies. Recent research has shown that agile approaches are suitable and beneficial when applied in big data projects. The aim of the current study is to investigate which of the agile software development methodologies are currently applied in big data projects and what are the key considerations for their application. As a first step towards achieving this aim, the paper presents a systematic literature review of research articles reporting real-world experience of adopting agile methodologies in different big data science contexts. The findings of the study are beneficial to both practitioners and researchers to define and adopt agile approaches which are well suited for their big data projects.",agile software development; big data science; methodology adoption; real-world experience; systematic literature review,"Krasteva, I; Ilieva, S",,2020.0,2020 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),IEEE,,10.1109/BigData50022.2020.9378118,20230520-160000,20230521-044735
,wos,Web Services-based Report Generation System from Big Data in the Manufacturing Industry based on Agile Software Development,"In the manufacturing industry, there are many information technology (IT) systems and machines connected to different databases with complex big data. In this study, the web service system is developed by using different programming languages consisting of C#, Javascript, HTML, CSS, Ext JS and structured query language (SQL). In addition to these programming languages, model view controller (MVC), a software design pattern is also used for developing a database interface. The development of this system allows the web service system to search for reports that meet the user needs and also has the user interface (UI) for convenience and speed. In this study, agile software development method is used in accordance with scrum framework, which consist of 4 steps: 1) product backlog creation, 2) sprint backlog creation, 3) sprint or the system development and testing and test case writing and 4) daily scrum. Sprint review is held to report the results of unit test, functional test, integration test and user acceptance test (UAT). This sprint review enables the development of an appropriate and comprehensive system and results in collaboration and understanding among stakeholders, including technology adoption among users.",Big Data; Web Services; Agile,"Kattiyawong, P; Tangprasert, S",King Mongkuts University of Technology North Bangkok,2020.0,"PROCEEDINGS OF THE 22ND INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS (ICEIS), VOL 1",SCITEPRESS,,10.5220/0009459102260232,20230520-160000,20230521-044735
,wos,Agile Elastic Desktop Corporate Architecture for Big Data,"New challenges in the dynamically changing business environment require companies to experience digital transformation and more effective use of Big Data generated in their expanding online business activities. A possible solution for solving real business problems concerning Big Data resources is proposed in this paper. The defined Agile Elastic Desktop Corporate Architecture for Big Data is based on virtualizing the unused desktop resources and organizing them in order to serve the needs of Big Data processing, thus saving resources needed for additional infrastructure in an organization. The specific corporate business needs are analyzed within the developed R&D environment and, based on that, the unused desktop resources are customized and configured into required Big Data tools. The R&D environment of the proposed Agile Elastic Desktop Corporate Architecture for Big Data could be implemented on the available unused resources of hundreds desktops.",Agile Elastic Desktop Corporate Architecture; Desktop Virtualization; Big Data; Digital Transformation,"Kisimov, V; Kabakchieva, D; Naydenov, A; Stefanova, K",University of National & World Economics - Bulgaria,2020.0,CYBERNETICS AND INFORMATION TECHNOLOGIES,INST INFORMATION & COMMUNICATION TECHNOLOGIES-BULGARIAN ACAD SCIENCES,,10.2478/cait-2020-0025,20230520-160000,20230521-044735
,wos,Current approaches for executing big data science projects-a systematic literature review,"There is an increasing number of big data science projects aiming to create value for organizations by improving decision making, streamlining costs or enhancing business processes. However, many of these projects fail to deliver the expected value. It has been observed that a key reason many data science projects don't succeed is not technical in nature, but rather, the process aspect of the project. The lack of established and mature methodologies for executing data science projects has been frequently noted as a reason for these project failures. To help move the field forward, this study presents a systematic review of research focused on the adoption of big data science process frameworks. The goal of the review was to identify (1) the key themes, with respect to current research on how teams execute data science projects, (2) the most common approaches regarding how data science projects are organized, managed and coordinated, (3) the activities involved in a data science projects life cycle, and (4) the implications for future research in this field. In short, the review identified 68 primary studies thematically classified in six categories. Two of the themes (workflow and agility) accounted for approximately 80% of the identified studies. The findings regarding workflow approaches consist mainly of adaptations to CRISP-DM (vs entirely new proposed methodologies). With respect to agile approaches, most of the studies only explored the conceptual benefits of using an agile approach in a data science project (vs actually evaluating an agile framework being used in a data science context). Hence, one finding from this research is that future research should explore how to best achieve the theorized benefits of agility. Another finding is the need to explore how to efficiently combine workflow and agile frameworks within a data science context to achieve a more comprehensive approach for project execution.",Big data science; Project execution; Process frameworks; Big data science workflows; Agile data science,"Saltz, JS; Krasteva, I",Syracuse University; University of Sofia,2022.0,PEERJ COMPUTER SCIENCE,PEERJ INC,,10.7717/peerj-cs.862,20230520-160000,20230521-044735
,wos,Exploring the Challenges of Integrating Data Science Roles in Agile Autonomous Teams,"The notion of autonomous teams is core to agile software development. However, autonomy in agile teams is challenged by increasingly complex software projects, large-scale agile and perhaps increasingly multidisciplinary teams. At the same time, data science roles are making their way into agile teams as companies seek to reap the potential advantages of using data to develop better and more competitive services and products. The consequences of implementing such roles in traditional agile teams are largely unknown. In this paper, we take an exploratory approach to the topic of data science roles in agile teams by a set of interviews with five data scientists as well as three members of an agile software development team. Based on the interviews we identify a set of challenges associated with incorporating the role in agile autonomous teams. Based on these challenges we discuss preliminary recommendations for companies seeking to integrate data science roles in agile teams.",Data science; Agile; Software development; Teams; Autonomy,"Hukkelberg, I; Berntzen, M",University of Oslo,2019.0,AGILE PROCESSES IN SOFTWARE ENGINEERING AND EXTREME PROGRAMMING - WORKSHOPS,SPRINGER INTERNATIONAL PUBLISHING AG,,10.1007/978-3-030-30126-2_5,20230520-160000,20230521-044735
,wos,A Big Data on Private Cloud Agile Provisioning Framework Based on OpenStack,"On the bases of the OpenStack private cloud delivery big data platform, numerous entities yearn for attaining agile and standardized big data delivery platform, reclaiming the resources, managing the total cost of ownership (TCO) and adapting to multiple big data open source or commercial off-the-shelf (COTS) solutions. Nevertheless, as regards the big data platform running on cloud computing, the big data platform is disintegrated from the cloud computing system by virtual machines since neither being based on OpenStack private cloud nor on big data platform can achieve end-to-end resource delivery, together with ensuring that it is quite convenient for the long-term operations. Accordingly, establishing an across framework between private cloud and big data platform is quite essential. The big data on cloud agile provision framework could realize fast resource delivery based on predefined orchestration template of private cloud, operating system, big data platform, monitor, inspection system, etc. Through the deployment of this framework, it is capable of attaining the delivery of agile, low cost, standardized and high adaptability the big data on cloud, as well as the high-quality operation of the big data on cloud with the help of integration configuration management database (CMDB) with the automatic inspection system.",cloud computing; agile resource provisioning; big data platform orchestration; inspection and rule engine,"Lu, M; Zhou, X","Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Legend Holdings; Lenovo; Legend Holdings; Lenovo",2018.0,2018 IEEE 3RD INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND BIG DATA ANALYSIS (ICCCBDA),IEEE,,,20230520-160000,20230521-044735
,wos,Lessons learned to improve the UX practices in agile projects involving data science and process automation,"Context: User-Centered Design (UCD) and Agile methodologies focus on human issues. Nevertheless, agile methodologies focus on contact with contracting customers and generating value for them. Usually, the communication between end users (they use the software and have low decision power) and the agile team is mediated by customers (they have high decision power but do not use the software). However, they do not know the actual problems that end users (may) face in their routine, and they may not be directly affected by software shortcomings. In this context, UX issues are typically identified only after the implementation, during user testing and validation. Objective: Aiming to improve the understanding and definition of the problem in agile projects, this research investigates the practices and difficulties experienced by agile teams during the development of data science and process automation projects. Also, we analyze the benefits and the teams' perceptions regarding user participation in these projects. Method: We collected data from four agile teams, in the context of an academia and industry collaboration focusing on delivering data science and process automation solutions. Therefore, we applied a carefully designed questionnaire answered by developers, scrum masters, and UX designers. In total, 18 subjects answered the questionnaire. Results: From the results, we identify practices used by the teams to define and understand the problem and to represent the solution. The practices most often used are prototypes and meetings with stakeholders. Another practice that helped the team to understand the problem was using Lean Inception (LI) ideation workshops. Also, our results present some specific issues regarding data science projects. Conclusion: We observed that end-user participation can be critical to understanding and defining the problem. They help to define elements of the domain and barriers in the implementation. We identified a need for approaches that facilitate user-team communication in data science projects to understand the data and its value to the users' routine. We also identified insights about the need of more detailed requirements representations to support the development of data science solutions.",Agile; User -centered design; Lean inception; User involvement; User participation; User experience; Data science,"Ferreira, B; Marques, S; Kalinowski, M; Lopes, H; Barbosa, SDJ",,2023.0,INFORMATION AND SOFTWARE TECHNOLOGY,ELSEVIER,,10.1016/j.infsof.2022.107106,20230520-160000,20230521-044735
