entry,database,title,abstract,author_keywords,authors,authors_affiliations,publication_year,source_title,publisher,url,doi,query_date,processing_date,duplicated_exclusion_flag,duplicated_validation_date,metadata_exclusion_flag,metadata_exclusion_criteria,metadata_validation_date,fulltext_exclusion_flag,fulltext_exclusion_criteria,fulltext_validation_date,exclusion_step,exclusion_criteria,exclusion_date,RQ0_Authors,RQ0_Countries,RQ0_ScopusCitations,RQ0_Keywords,RQ1_PubSourceType,RQ1_MacroPubSourceType,RQ1_PubSourceName,RQ1_PubYear,RQ1_EstimatedPubDate,RQ2_ResearchType,RQ3_ResearchMethod,RQ4_OrganizationType,RQ5_SubtopicsAM,RQ6_SubtopicsDS,RQ7_ProblemsReported,RQ8_ObjectiveAM,RQ9_ContributionsResults
6,acm,A Scalable Methodology to Guide Student Teams Executing Computing Projects,"This article reports on a sequential mixed-methods research study, which compared different approaches on how to guide students through a semester-long data science project. Four different methodologies, ranging from a traditional “just assign some intermediate milestones” to other more Agile methodologies, were first compared via a controlled experiment. The results of this initial experiment showed that the project methodology used made a significant difference in student outcomes. Surprisingly, the Agile Kanban approach was found to be much more effective than the Agile Scrum methodology. Based on these initial results, in the second semester, we focused on use of the Kanban methodology. The findings in the second, more qualitative phase, confirmed the methodology's usefulness and scalability. A key issue when using the scrum methodology was that the students had a very difficult time estimating what could be completed in each of their two-week sprints. The Kanban board, which visually shows and limits work-in-progress, was found to be an effective way for students to communicate with each other as well as with their instructor. In addition, Agile Kanban also streamlined the work required for instructors to efficiently provide guidance to student teams and to understand each team's status. In summary, a scalable Kanban methodology, which can be applied to a wide variety of student computing projects, was found to an effective methodology to guide and manage student projects, improving student outcomes and minimizing instructor workload.","project methodologies, Project-based learning, scalable methodologies","Saltz JS,Heckman RR",,2018,ACM Trans. Comput. Educ.,Association for Computing Machinery,,10.1145/3145477,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230530-083000,Not excluded,Not excluded,N/A,J. Saltz; R. Heckman,EUA,8,"project methodologies, Project-based learning, scalable methodologies",Journal,Periodico,ACM Transactions on Computing Education,2018,11/07/2018,Validação,MixedMethods,Academia,Kanban,CicloDesenvolvimento;Geral,Time;Integração;Definição;Incerteza,Definição,Coordenação;Clareza;
14,ieeex,Achieving Agile Big Data Science: The Evolution of a Team’s Agile Process Methodology,"While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams.",Big Data Science;Agile;Process Methodology,J. S. Saltz; I. Shamshurin,"School of Information Studies Syracuse University, Syracuse, NY, USA; School of Information Studies Syracuse University, Syracuse, NY, USA",2019,2019 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005493,10.1109/BigData47090.2019.9005493,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230530-083000,Not excluded,Not excluded,N/A,J. Saltz; I. Shamshurin,EUA,8,Big Data Science;Agile;Process Methodology,Conference,Evento,IEEE International Conference on Big Data,2019,12/12/2019,Avaliação,Etnografia,Industria,Kanban,BigData,Time;Integração;Incerteza,Agilidade;Integração,Coordenação;Priorização;Eficiência;WIP
15,ieeex,SKI: An Agile Framework for Data Science,"This paper explores data science project management by first noting the need for a new process management framework and then defines a process framework that effectively supports the needs of a data science team. The paper also reports on a pilot study of teams using the framework. The framework adheres to the lean Kanban philosophy but augments Kanban by providing a structured iteration process for teams to incrementally explore and learn via lean hypothesis testing. Specifically, the Structured Kanban Iteration (SKI) framework focuses on having teams define capability-based iterations (as opposed to Kanban-like no iterations or Scrumlike time-based sprints). Furthermore, unlike Kanban, the framework leverages Scrum best practices to define roles, meetings and artifacts. Thus, SKI implements the Kanban process, but with a more repeatable and structured approach.",Data Science;Big Data;Agile;Process Methodology,J. Saltz; A. Suthrland,Syracuse University; Scrum Inc.,2019,2019 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005591,10.1109/BigData47090.2019.9005591,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230530-083000,Not excluded,Not excluded,N/A,J. Saltz; A. Suthrland,EUA,9,Data Science;Big Data;Agile;Process Methodology,Conference,Evento,IEEE International Conference on Big Data,2019,12/12/2019,Validação,StudyCase,Academia,Adaptada,CicloDesenvolvimento;Geral,Incerteza;Suporte;Experiência,Definição,Clareza;Divisão;Coordenação
18,ieeex,Identifying the most Common Frameworks Data Science Teams Use to Structure and Coordinate their Projects,"This paper presents the results of a study focused on exploring which framework, if any, teams use to execute data science projects. The study consisted of a survey of 109 industry professionals, as well as an evaluation of relevant framework terms searched at Google. Overall, CRISP-DM was the most commonly used framework, with Scrum and Kanban being the second and third most frequently used. We note that CRISP-DM is a life cycle framework, whereas Scrum and Kanban are team coordination frameworks. Hence, this research also notes the potential demand for a framework that integrates both life cycle and team coordination aspects of leading a data science project.",Data Science;Big Data;Process Methodology,J. S. Saltz; N. Hotz,Syracuse University; Indiana University,2020,2020 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377813,10.1109/BigData50022.2020.9377813,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230531-090000,Not excluded,Not excluded,N/A,J. Saltz; N. Hotz,EUA,8,Data Science;Big Data;Process Methodology,Conference,Evento,IEEE International Conference on Big Data,2020,13/12/2020,Avaliação,Survey,Industria,Geral,CicloDesenvolvimento;Geral,Definição,N/A,N/A
20,ieeex,Applying Scrum in Data Science Projects,"The rise of big data has led to an increase in data science projects conducted by organizations. Such projects aim to create valuable insights by improving decision making or enhancing an organization's service offering through data-driven services. However, the majority of data science projects still fail to deliver the expected value. To increase the success rate of projects, the use of process models or methodologies is recommended in the literature. Nevertheless, organizations are hardly using them because they are considered too rigid and they do not support the typical iterative and open nature of data science projects. To overcome this problem, this research suggests applying Agile methodologies to data science projects. Agile methodologies were originally developed in the software engineering domain and are characterised by their iterative approach towards software development. In this study, we selected the Scrum approach and integrated it into the CRISP-DM methodology for data science projects using a Design Science Research approach. This new methodology was then evaluated in three different case organizations using expert interviews. Analysis of the expert interviews resulted in a further refinement of the Agile data science methodology proposed by this research.",Data Science;Agile;Scrum,J. Baijens; R. Helms; D. Iren,"Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands",2020,2020 IEEE 22nd Conference on Business Informatics (CBI),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140255,10.1109/CBI49978.2020.00011,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230531-090000,Not excluded,Not excluded,N/A,J. Baijens; R. Helms; D. Iren,Países Baixos,12,Data Science;Agile;Scrum,Conference,Evento,IEEE Conference on Business Informatics,2020,24/06/2020,Avaliação,Interview,Industria,Adaptada,CicloDesenvolvimento;Geral,Incerteza;Definição,Agilidade;Definição,Clareza;Coordenação;Priorização
21,ieeex,Managing and Composing Teams in Data Science: An Empirical Study,"Data science projects have become commonplace over the last decade. During this time, the practices of running such projects, together with the tools used to run them, have evolved considerably. Furthermore, there are various studies on data science workflows and data science project teams. However, studies looking into both workflows and teams are still scarce and comprehensive works to build a holistic view do not exist. This study bases on a prior case study on roles and processes in data science. The goal here is to create a deeper understanding of data science projects and development processes. We conducted a survey targeted at experts working in the field of data science (n=50) to understand data science projects’ team structure, roles in the teams, utilized project management practices and the challenges in data science work. Results show little difference between big data projects and other data science. The found differences, however, give pointers for future research on how agile data science projects are, and how important is the role of supporting project management personnel. The current study is work in progress and attempts to spark discussion and new research directions.",Data science;agile practices;teamwork;project management,T. Aho; T. Kilamo; L. Lwakatare; T. Mikkonen; O. Sievi-Korte; S. Yaman,"TietoEvry, Tampere, Finland; Computing Sciences, Tampere University, Tampere, Finland; Computer Science, University of Helsinki, Helsinki, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Computing Sciences, Tampere University, Tampere, Finland; KPMG Finland, Helsinki, Finland",2021,2021 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671737,10.1109/BigData52589.2021.9671737,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230601-090000,Not excluded,Not excluded,N/A,T. Aho; T. Kilamo; L. Lwakatare; T. Mikkonen; O. Sievi-Korte; S. Yaman,Finland,0,Data science;agile practices;teamwork;project management,Conference,Evento,IEEE International Conference on Big Data,2021,18/12/2021,Avaliação,Survey,Organizações,Geral,BigData,Incerteza,N/A,N/A
22,ieeex,Using Agile Frameworks in Big Data projects,"Considering the main problems of Big Data projects - huge amounts of data, uncertainty and the need to take into account constant changes, the study decided to investigate the process of managing Big Data projects using Agile. The problem of choosing Agile techniques is complicated by the fact that each of the known frameworks has its own advantages and disadvantages. Depending on the type of project, a particular tool can influence various criteria for the success of the project. In addition, research has shown that some enterprises use separate elements of a particular framework. Therefore, the scientific novelty of the article lies in the study of the influence of individual elements of Agile techniques on the success of the project and its course. With the help of expert assessment in the work, a quantity of separate elements of Agile were formed. These techniques are the most common among practicing managers of Big Data project. The data were prepared to create a regression model.",Agile;project management;Big Data;statistics;questionnaire;expert assessment,K. Kolesnikova; O. Mezentseva; O. Kolesnikov; D. J. Obenewaa,"Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine",2021,2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648622,10.1109/CSIT52700.2021.9648622,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230602-090000,Not excluded,Not excluded,N/A,K. Kolesnikova; O. Mezentseva; O. Kolesnikov; D. Obenewaa,Ukraine,0,Agile;project management;Big Data;statistics;questionnaire;expert assessment,Conference,Evento,IEEE International Conference on Computer Sciences and Information Technologies,2021,25/09/2021,Avaliação,Survey,Industria,Geral,BigData,Escolha;Suporte;Experiência,Agilidade;Integração,Eficiência
24,ieeex,Story and Task Issue Analysis for Agile Machine Learning Projects,"The usage of Agile methodology in planning and executing machine learning (ML) and data science related software engineering projects is increasing. However, there are very few studies using real data on how effective such planning is or guidelines on how to plan such projects. In this paper, we analyze data taken from several software projects using Scrum tools. We compare the data for data science/ML and non-ML projects, in an attempt to understand if data science and ML projects are planned or executed any differently compared to normal software engineering projects. We also perform a story classification task using machine learning to analyze story logs for agile tasks for several teams. We find there are differences in what makes a good ML story as opposed to a non ML story. After analyzing this data, we propose a few ways in which software projects, whether machine learning related or not, can be better logged and executed using Scrum tools like Jira.",scrum;machine learning project;software engineering;agile methodology,K. Singla; T. M. Vinayak; A. S. Arpitha; C. Naik; J. Bose,"Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India",2020,2020 IEEE-HYDCON,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9242803,10.1109/HYDCON48903.2020.9242803,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230602-090000,Not excluded,Not excluded,N/A,K. Singla; T. Vinayak; A. Arpitha; C. Naik; J. Bose,India,1,scrum;machine learning project;software engineering;agile methodology,Conference,Evento,IEEE HYDCON,2020,11/09/2020,Avaliação,FieldStudy,Industria,Scrum,ML,Especificidades,Agilidade,N/A
28,ieeex,"CRISP-DM for Data Science: Strengths, Weaknesses and Potential Next Steps","This paper explores the strengths and weaknesses of CRISP-DM when used for data science projects. The paper then explores what key actions data science teams using CRISP-DM should consider that addresses CRISP-DM’s weaknesses. In brief, CRISP-DM, which is the most popular framework teams use to execute data science projects, provides an easy to understand description of the data science project workflow (i.e., the data science life cycle). However, CRISP-DM’s project phases miss some key aspects of the data science project life cycle. In addition, CRISP-DM’s task-focused approach fails to address how a team should prioritize tasks, and in general, collaborate and communicate. Hence, this paper also describes how CRISP-DM could be combined with a team coordination framework, such as Scrum or Data Driven Scrum, which is a newer collaboration framework developed to address the unique data science coordination challenges.",,J. S. Saltz,Syracuse University,2021,2021 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671634,10.1109/BigData52589.2021.9671634,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230603-183000,Not excluded,Not excluded,N/A,J. Saltz,EUA,9,,Conference,Evento,IEEE International Conference on Big Data,2021,18/12/2021,Solução,Proposta,Geral,Adaptada,CicloDesenvolvimento;Geral,Time;Integração;Definição,Definição;Integração,N/A
29,ieeex,Identifying and Addressing 6 Key Questions when Using Data Driven Scrum,"Data Driven Scrum (DDS) enables lean data science project agility and addresses the key challenges that have been identified when using Scrum in a data science context. However, little has been written with respect to the questions or challenges teams might encounter when trying to use DDS. Based on a survey of 18 team leads trying to use DDS, this paper describes six common questions teams might encounter when trying to implement DDS, as well as how to address these challenges.",,J. S. Saltz; A. Sutherland; T. Jombart,Syracuse University; Scrum Inc; London School of Hygiene & Tropical Medicine,2021,2021 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671930,10.1109/BigData52589.2021.9671930,20230520-160000,20230521-235245,0,20230521-235258,0,,20230528-130000,0,,20230602-090000,Not excluded,Not excluded,N/A,J. Saltz; A. Sutherland; T. Jombart,EUA;EUA;Reino Unido,0,,Conference,Evento,IEEE International Conference on Big Data,2021,18/12/2021,Avaliação,Survey,Industria,Adaptada,Geral,Integração;Definição;Incerteza,Definição,N/A
